Gene,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24
REAL_11,5.91,6.16,7.74,8.41,9.08,10.31,10.98,12.56,13.23,14.81,15.13,15.8,17.38,18.05,19.63,19.95,21.53,22.2,22.87,24.45,24.77,26.35,27.02,28.6
REAL_12,5.62,6.67,7.35,8.03,8.71,9.85,10.53,11.21,12.8,13.48,13.71,14.39,15.98,16.66,17.34,18.48,19.16,19.84,20.52,22.11,22.34,23.02,24.61,25.29
REAL_13,5.9,6.25,6.6,6.95,7.3,8.56,8.91,9.26,9.61,9.96,10.31,10.66,11.92,12.27,12.62,12.97,13.32,13.67,14.02,15.28,15.63,15.98,16.33,16.68
REAL_14,5.81,6.37,6.93,7.49,8.05,8.61,9.17,9.73,10.29,10.85,11.41,11.97,12.53,13.09,13.65,14.21,14.77,15.33,15.89,16.45,17.01,17.57,18.13,18.69
REAL_15,6.63,7.4,8.17,8.94,8.8,9.57,10.34,11.11,11.88,12.65,13.42,13.28,14.05,14.82,15.59,16.36,17.13,17.9,17.76,18.53,19.3,20.07,20.84,21.61
REAL_16,7.13,6.88,7.54,8.2,7.95,8.61,9.27,9.93,9.68,10.34,11.0,10.75,11.41,12.07,12.73,12.48,13.14,13.8,13.55,14.21,14.87,15.53,15.28,15.94
REAL_17,7.04,7.91,7.87,8.74,8.7,9.57,10.44,10.4,11.27,11.23,12.1,12.06,12.93,13.8,13.76,14.63,14.59,15.46,15.42,16.29,17.16,17.12,17.99,17.95
REAL_18,7.86,8.03,9.11,9.28,9.45,10.53,10.7,11.78,11.95,13.03,13.2,13.37,14.45,14.62,15.7,15.87,16.95,17.12,17.29,18.37,18.54,19.62,19.79,20.87
REAL_19,7.77,9.06,9.44,9.82,10.2,11.49,11.87,12.25,13.54,13.92,14.3,14.68,15.97,16.35,16.73,18.02,18.4,18.78,19.16,20.45,20.83,21.21,22.5,22.88
REAL_20,8.27,8.54,8.81,9.08,9.35,10.53,10.8,11.07,11.34,11.61,11.88,12.15,13.33,13.6,13.87,14.14,14.41,14.68,14.95,16.13,16.4,16.67,16.94,17.21
REAL_21,8.18,8.66,9.14,9.62,10.1,10.58,11.06,11.54,12.02,12.5,12.98,13.46,13.94,14.42,14.9,15.38,15.86,16.34,16.82,17.3,17.78,18.26,18.74,19.22
REAL_22,9.0,9.69,10.38,11.07,10.85,11.54,12.23,12.92,13.61,14.3,14.99,14.77,15.46,16.15,16.84,17.53,18.22,18.91,18.69,19.38,20.07,20.76,21.45,22.14
REAL_23,9.82,9.81,10.71,11.61,11.6,12.5,13.4,14.3,14.29,15.19,16.09,16.08,16.98,17.88,18.78,18.77,19.67,20.57,20.56,21.46,22.36,23.26,23.25,24.15
REAL_24,9.41,10.2,10.08,10.87,10.75,11.54,12.33,12.21,13.0,12.88,13.67,13.55,14.34,15.13,15.01,15.8,15.68,16.47,16.35,17.14,17.93,17.81,18.6,18.48
REAL_25,10.23,10.32,11.32,11.41,11.5,12.5,12.59,13.59,13.68,14.68,14.77,14.86,15.86,15.95,16.95,17.04,18.04,18.13,18.22,19.22,19.31,20.31,20.4,21.4
REAL_26,10.14,11.35,11.65,11.95,12.25,13.46,13.76,14.06,15.27,15.57,15.87,16.17,17.38,17.68,17.98,19.19,19.49,19.79,20.09,21.3,21.6,21.9,23.11,23.41
REAL_27,10.96,11.47,11.98,12.49,13.0,14.42,14.93,15.44,15.95,16.46,16.97,17.48,18.9,19.41,19.92,20.43,20.94,21.45,21.96,23.38,23.89,24.4,24.91,25.42
REAL_28,10.55,10.95,11.35,11.75,12.15,12.55,12.95,13.35,13.75,14.15,14.55,14.95,15.35,15.75,16.15,16.55,16.95,17.35,17.75,18.15,18.55,18.95,19.35,19.75
REAL_29,11.37,11.98,12.59,13.2,12.9,13.51,14.12,14.73,15.34,15.95,16.56,16.26,16.87,17.48,18.09,18.7,19.31,19.92,19.62,20.23,20.84,21.45,22.06,22.67
