Gene,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
GENE_093,3,6,9,12,5,8,11,14,17,10,13,16
GENE_094,6,11,16,21,16,21,26,31,36,31,36,41
GENE_095,9,16,23,30,27,34,41,48,55,52,59,66
GENE_096,12,21,30,39,38,47,56,65,74,73,82,91
GENE_097,15,26,37,48,49,60,71,82,93,94,8,19
GENE_098,11,17,23,29,25,31,37,43,49,45,51,57
GENE_099,14,22,30,38,36,44,52,60,68,66,74,82
GENE_100,17,27,37,47,47,57,67,77,87,87,97,10
GENE_101,20,32,44,56,58,70,82,94,9,11,23,35
GENE_102,23,37,51,65,69,83,97,14,28,32,46,60
GENE_103,26,42,58,74,80,96,15,31,47,53,69,85
GENE_104,29,47,65,83,91,12,30,48,66,74,92,13
GENE_105,25,38,51,64,67,80,93,9,22,25,38,51
GENE_106,28,43,58,73,78,93,11,26,41,46,61,76
GENE_107,31,48,65,82,89,9,26,43,60,67,84,4
GENE_108,34,53,72,91,3,22,41,60,79,88,10,29
GENE_109,37,58,79,3,14,35,56,77,1,12,33,54
GENE_110,40,63,86,12,25,48,71,94,20,33,56,79
GENE_111,43,68,93,21,36,61,86,14,39,54,79,7
GENE_112,39,59,79,2,12,32,52,72,92,5,25,45
GENE_113,42,64,86,11,23,45,67,89,14,26,48,70
GENE_114,45,69,93,20,34,58,82,9,33,47,71,95
GENE_115,48,74,3,29,45,71,97,26,52,68,94,23
GENE_116,51,79,10,38,56,84,15,43,71,89,20,48
GENE_117,54,84,17,47,67,97,30,60,90,13,43,73
GENE_118,57,89,24,56,78,13,45,77,12,34,66,1
GENE_119,53,80,10,37,54,81,11,38,65,82,12,39
GENE_120,56,85,17,46,65,94,26,55,84,6,35,64
GENE_121,59,90,24,55,76,10,41,72,6,27,58,89
GENE_122,62,95,31,64,87,23,56,89,25,48,81,17
GENE_123,65,3,38,73,1,36,71,9,44,69,7,42
GENE_124,68,8,45,82,12,49,86,26,63,90,30,67
GENE_125,71,13,52,91,23,62,4,43,82,14,53,92
GENE_126,67,4,38,72,96,33,67,4,38,62,96,33
GENE_127,70,9,45,81,10,46,82,21,57,83,22,58
GENE_128,73,14,52,90,21,59,97,38,76,7,45,83
GENE_129,76,19,59,2,32,72,15,55,95,28,68,11
GENE_130,79,24,66,11,43,85,30,72,17,49,91,36
GENE_131,82,29,73,20,54,1,45,89,36,70,17,61
GENE_132,85,34,80,29,65,14,60,9,55,91,40,86
GENE_133,81,25,66,10,41,82,26,67,11,42,83,27
GENE_134,84,30,73,19,52,95,41,84,30,63,9,52
GENE_135,87,35,80,28,63,11,56,4,49,84,32,77
GENE_136,90,40,87,37,74,24,71,21,68,8,55,5
GENE_137,93,45,94,46,85,37,86,38,87,29,78,30
GENE_138,96,50,4,55,96,50,4,55,9,50,4,55
GENE_139,2,55,11,64,10,63,19,72,28,71,27,80
GENE_140,95,46,94,45,83,34,82,33,81,22,70,21
GENE_141,1,51,4,54,94,47,97,50,3,43,93,46
GENE_142,4,56,11,63,8,60,15,67,22,64,19,71
GENE_143,7,61,18,72,19,73,30,84,41,85,42,96
GENE_144,10,66,25,81,30,86,45,4,60,9,65,24
GENE_145,13,71,32,90,41,2,60,21,79,30,88,49
GENE_146,16,76,39,2,52,15,75,38,1,51,14,74
GENE_147,12,67,25,80,28,83,41,96,54,2,57,15
GENE_148,15,72,32,89,39,96,56,16,73,23,80,40
GENE_149,18,77,39,1,50,12,71,33,92,44,6,65
GENE_150,21,82,46,10,61,25,86,50,14,65,29,90
GENE_151,24,87,53,19,72,38,4,67,33,86,52,18
GENE_152,27,92,60,28,83,51,19,84,52,10,75,43
GENE_153,30,97,67,37,94,64,34,4,71,31,1,68
GENE_154,26,88,53,18,70,35,97,62,27,79,44,9
GENE_155,29,93,60,27,81,48,15,79,46,3,67,34
GENE_156,32,1,67,36,92,61,30,96,65,24,90,59
GENE_157,35,6,74,45,6,74,45,16,84,45,16,84
GENE_158,38,11,81,54,17,87,60,33,6,66,39,12
GENE_159,41,16,88,63,28,3,75,50,25,87,62,37
GENE_160,44,21,95,72,39,16,90,67,44,11,85,62
GENE_161,40,12,81,53,15,84,56,28,97,59,31,3
GENE_162,43,17,88,62,26,97,71,45,19,80,54,28
GENE_163,46,22,95,71,37,13,86,62,38,4,77,53
GENE_164,49,27,5,80,48,26,4,79,57,25,3,78
GENE_165,52,32,12,89,59,39,19,96,76,46,26,6
GENE_166,55,37,19,1,70,52,34,16,95,67,49,31
GENE_167,58,42,26,10,81,65,49,33,17,88,72,56
GENE_168,54,33,12,88,57,36,15,91,70,39,18,94
GENE_169,57,38,19,97,68,49,30,11,89,60,41,22
GENE_170,60,43,26,9,79,62,45,28,11,81,64,47
GENE_171,63,48,33,18,90,75,60,45,30,5,87,72
GENE_172,66,53,40,27,4,88,75,62,49,26,13,97
GENE_173,69,58,47,36,15,4,90,79,68,47,36,25
GENE_174,72,63,54,45,26,17,8,96,87,68,59,50
GENE_175,68,54,40,26,2,85,71,57,43,19,5,88
GENE_176,71,59,47,35,13,1,86,74,62,40,28,16
GENE_177,74,64,54,44,24,14,4,91,81,61,51,41
GENE_178,77,69,61,53,35,27,19,11,3,82,74,66
GENE_179,80,74,68,62,46,40,34,28,22,6,97,91
GENE_180,83,79,75,71,57,53,49,45,41,27,23,19
GENE_181,86,84,82,80,68,66,64,62,60,48,46,44
GENE_182,82,75,68,61,44,37,30,23,16,96,89,82
GENE_183,85,80,75,70,55,50,45,40,35,20,15,10
GENE_184,88,85,82,79,66,63,60,57,54,41,38,35
GENE_185,91,90,89,88,77,76,75,74,73,62,61,60
GENE_186,94,95,96,97,88,89,90,91,92,83,84,85
GENE_187,97,3,6,9,2,5,8,11,14,7,10,13
GENE_188,3,8,13,18,13,18,23,28,33,28,33,38
GENE_189,96,96,96,96,86,86,86,86,86,76,76,76
GENE_190,2,4,6,8,97,2,4,6,8,97,2,4
GENE_191,5,9,13,17,11,15,19,23,27,21,25,29
GENE_192,8,14,20,26,22,28,34,40,46,42,48,54
GENE_193,11,19,27,35,33,41,49,57,65,63,71,79
GENE_194,14,24,34,44,44,54,64,74,84,84,94,7
GENE_195,17,29,41,53,55,67,79,91,6,8,20,32
GENE_196,13,20,27,34,31,38,45,52,59,56,63,70
GENE_197,16,25,34,43,42,51,60,69,78,77,86,95
GENE_198,19,30,41,52,53,64,75,86,97,1,12,23
GENE_199,22,35,48,61,64,77,90,6,19,22,35,48
GENE_200,25,40,55,70,75,90,8,23,38,43,58,73
GENE_201,28,45,62,79,86,6,23,40,57,64,81,1
GENE_202,31,50,69,88,97,19,38,57,76,85,7,26
GENE_203,27,41,55,69,73,87,4,18,32,36,50,64
GENE_204,30,46,62,78,84,3,19,35,51,57,73,89
GENE_205,33,51,69,87,95,16,34,52,70,78,96,17
GENE_206,36,56,76,96,9,29,49,69,89,2,22,42
GENE_207,39,61,83,8,20,42,64,86,11,23,45,67
GENE_208,42,66,90,17,31,55,79,6,30,44,68,92
GENE_209,45,71,97,26,42,68,94,23,49,65,91,20
GENE_210,41,62,83,7,18,39,60,81,5,16,37,58
GENE_211,44,67,90,16,29,52,75,1,24,37,60,83
GENE_212,47,72,97,25,40,65,90,18,43,58,83,11
GENE_213,50,77,7,34,51,78,8,35,62,79,9,36
GENE_214,53,82,14,43,62,91,23,52,81,3,32,61
GENE_215,56,87,21,52,73,7,38,69,3,24,55,86
GENE_216,59,92,28,61,84,20,53,86,22,45,78,14
GENE_217,55,83,14,42,60,88,19,47,75,93,24,52
GENE_218,58,88,21,51,71,4,34,64,94,17,47,77
GENE_219,61,93,28,60,82,17,49,81,16,38,70,5
GENE_220,64,1,35,69,93,30,64,1,35,59,93,30
GENE_221,67,6,42,78,7,43,79,18,54,80,19,55
GENE_222,70,11,49,87,18,56,94,35,73,4,42,80
GENE_223,73,16,56,96,29,69,12,52,92,25,65,8
GENE_224,69,7,42,77,5,40,75,13,48,73,11,46
GENE_225,72,12,49,86,16,53,90,30,67,94,34,71
GENE_226,75,17,56,95,27,66,8,47,86,18,57,96
GENE_227,78,22,63,7,38,79,23,64,8,39,80,24
GENE_228,81,27,70,16,49,92,38,81,27,60,6,49
GENE_229,84,32,77,25,60,8,53,1,46,81,29,74
GENE_230,87,37,84,34,71,21,68,18,65,5,52,2
GENE_231,83,28,70,15,47,89,34,76,21,53,95,40
GENE_232,86,33,77,24,58,5,49,93,40,74,21,65
GENE_233,89,38,84,33,69,18,64,13,59,95,44,90
GENE_234,92,43,91,42,80,31,79,30,78,19,67,18
GENE_235,95,48,1,51,91,44,94,47,97,40,90,43
GENE_236,1,53,8,60,5,57,12,64,19,61,16,68
GENE_237,4,58,15,69,16,70,27,81,38,82,39,93
GENE_238,97,49,1,50,89,41,90,42,91,33,82,34
GENE_239,3,54,8,59,3,54,8,59,13,54,8,59
GENE_240,6,59,15,68,14,67,23,76,32,75,31,84
GENE_241,9,64,22,77,25,80,38,93,51,96,54,12
GENE_242,12,69,29,86,36,93,53,13,70,20,77,37
GENE_243,15,74,36,95,47,9,68,30,89,41,3,62
GENE_244,18,79,43,7,58,22,83,47,11,62,26,87
GENE_245,14,70,29,85,34,90,49,8,64,13,69,28
GENE_246,17,75,36,94,45,6,64,25,83,34,92,53
GENE_247,20,80,43,6,56,19,79,42,5,55,18,78
GENE_248,23,85,50,15,67,32,94,59,24,76,41,6
GENE_249,26,90,57,24,78,45,12,76,43,97,64,31
GENE_250,29,95,64,33,89,58,27,93,62,21,87,56
GENE_251,32,3,71,42,3,71,42,13,81,42,13,81
GENE_252,28,91,57,23,76,42,8,71,37,90,56,22
GENE_253,31,96,64,32,87,55,23,88,56,14,79,47
GENE_254,34,4,71,41,1,68,38,8,75,35,5,72
GENE_255,37,9,78,50,12,81,53,25,94,56,28,97
GENE_256,40,14,85,59,23,94,68,42,16,77,51,25
GENE_257,43,19,92,68,34,10,83,59,35,1,74,50
GENE_258,46,24,2,77,45,23,1,76,54,22,97,75
GENE_259,42,15,85,58,21,91,64,37,10,70,43,16
GENE_260,45,20,92,67,32,7,79,54,29,91,66,41
GENE_261,48,25,2,76,43,20,94,71,48,15,89,66
GENE_262,51,30,9,85,54,33,12,88,67,36,15,91
GENE_263,54,35,16,94,65,46,27,8,86,57,38,19
GENE_264,57,40,23,6,76,59,42,25,8,78,61,44
GENE_265,60,45,30,15,87,72,57,42,27,2,84,69
GENE_266,56,36,16,93,63,43,23,3,80,50,30,10
GENE_267,59,41,23,5,74,56,38,20,2,71,53,35
GENE_268,62,46,30,14,85,69,53,37,21,92,76,60
GENE_269,65,51,37,23,96,82,68,54,40,16,2,85
GENE_270,68,56,44,32,10,95,83,71,59,37,25,13
GENE_271,71,61,51,41,21,11,1,88,78,58,48,38
GENE_272,74,66,58,50,32,24,16,8,97,79,71,63
GENE_273,70,57,44,31,8,92,79,66,53,30,17,4
GENE_274,73,62,51,40,19,8,94,83,72,51,40,29
GENE_275,76,67,58,49,30,21,12,3,91,72,63,54
GENE_276,79,72,65,58,41,34,27,20,13,93,86,79
GENE_277,82,77,72,67,52,47,42,37,32,17,12,7
GENE_278,85,82,79,76,63,60,57,54,51,38,35,32
GENE_279,88,87,86,85,74,73,72,71,70,59,58,57
GENE_280,84,78,72,66,50,44,38,32,26,10,4,95
GENE_281,87,83,79,75,61,57,53,49,45,31,27,23
GENE_282,90,88,86,84,72,70,68,66,64,52,50,48
GENE_283,93,93,93,93,83,83,83,83,83,73,73,73
GENE_284,96,1,3,5,94,96,1,3,5,94,96,1
GENE_285,2,6,10,14,8,12,16,20,24,18,22,26
GENE_286,5,11,17,23,19,25,31,37,43,39,45,51
GENE_287,1,2,3,4,92,93,94,95,96,87,88,89
GENE_288,4,7,10,13,6,9,12,15,18,11,14,17
GENE_289,7,12,17,22,17,22,27,32,37,32,37,42
GENE_290,10,17,24,31,28,35,42,49,56,53,60,67
GENE_291,13,22,31,40,39,48,57,66,75,74,83,92
GENE_292,16,27,38,49,50,61,72,83,94,95,9,20
GENE_293,19,32,45,58,61,74,87,3,16,19,32,45
GENE_294,15,23,31,39,37,45,53,61,69,67,75,83
GENE_295,18,28,38,48,48,58,68,78,88,88,1,11
GENE_296,21,33,45,57,59,71,83,95,10,12,24,36
GENE_297,24,38,52,66,70,84,1,15,29,33,47,61
GENE_298,27,43,59,75,81,97,16,32,48,54,70,86
GENE_299,30,48,66,84,92,13,31,49,67,75,93,14
GENE_300,33,53,73,93,6,26,46,66,86,96,19,39
GENE_301,29,44,59,74,79,94,12,27,42,47,62,77
GENE_302,32,49,66,83,90,10,27,44,61,68,85,5
GENE_303,35,54,73,92,4,23,42,61,80,89,11,30
GENE_304,38,59,80,4,15,36,57,78,2,13,34,55
GENE_305,41,64,87,13,26,49,72,95,21,34,57,80
GENE_306,44,69,94,22,37,62,87,15,40,55,80,8
GENE_307,47,74,4,31,48,75,5,32,59,76,6,33
GENE_308,43,65,87,12,24,46,68,90,15,27,49,71
GENE_309,46,70,94,21,35,59,83,10,34,48,72,96
GENE_310,49,75,4,30,46,72,1,27,53,69,95,24
GENE_311,52,80,11,39,57,85,16,44,72,90,21,49
GENE_312,55,85,18,48,68,1,31,61,91,14,44,74
GENE_313,58,90,25,57,79,14,46,78,13,35,67,2
GENE_314,61,95,32,66,90,27,61,95,32,56,90,27
GENE_315,57,86,18,47,66,95,27,56,85,7,36,65
GENE_316,60,91,25,56,77,11,42,73,7,28,59,90
GENE_317,63,96,32,65,88,24,57,90,26,49,82,18
GENE_318,66,4,39,74,2,37,72,10,45,70,8,43
GENE_319,69,9,46,83,13,50,87,27,64,91,31,68
GENE_320,72,14,53,92,24,63,5,44,83,15,54,93
GENE_321,75,19,60,4,35,76,20,61,5,36,77,21
GENE_322,71,10,46,82,11,47,83,22,58,84,23,59
GENE_323,74,15,53,91,22,60,1,39,77,8,46,84
GENE_324,77,20,60,3,33,73,16,56,96,29,69,12
GENE_325,80,25,67,12,44,86,31,73,18,50,92,37
GENE_326,83,30,74,21,55,2,46,90,37,71,18,62
GENE_327,86,35,81,30,66,15,61,10,56,92,41,87
GENE_328,89,40,88,39,77,28,76,27,75,16,64,15
GENE_329,85,31,74,20,53,96,42,85,31,64,10,53
GENE_330,88,36,81,29,64,12,57,5,50,85,33,78
GENE_331,91,41,88,38,75,25,72,22,69,9,56,6
GENE_332,94,46,95,47,86,38,87,39,88,30,79,31
GENE_333,97,51,5,56,97,51,5,56,10,51,5,56
GENE_334,3,56,12,65,11,64,20,73,29,72,28,81
GENE_335,6,61,19,74,22,77,35,90,48,93,51,9
GENE_336,2,52,5,55,95,48,1,51,4,44,94,47
GENE_337,5,57,12,64,9,61,16,68,23,65,20,72
GENE_338,8,62,19,73,20,74,31,85,42,86,43,97
GENE_339,11,67,26,82,31,87,46,5,61,10,66,25
GENE_340,14,72,33,91,42,3,61,22,80,31,89,50
GENE_341,17,77,40,3,53,16,76,39,2,52,15,75
GENE_342,20,82,47,12,64,29,91,56,21,73,38,3
GENE_343,16,73,33,90,40,97,57,17,74,24,81,41
GENE_344,19,78,40,2,51,13,72,34,93,45,7,66
GENE_345,22,83,47,11,62,26,87,51,15,66,30,91
GENE_346,25,88,54,20,73,39,5,68,34,87,53,19
GENE_347,28,93,61,29,84,52,20,85,53,11,76,44
GENE_348,31,1,68,38,95,65,35,5,72,32,2,69
GENE_349,34,6,75,47,9,78,50,22,91,53,25,94
GENE_350,30,94,61,28,82,49,16,80,47,4,68,35
GENE_351,33,2,68,37,93,62,31,97,66,25,91,60
GENE_352,36,7,75,46,7,75,46,17,85,46,17,85
GENE_353,39,12,82,55,18,88,61,34,7,67,40,13
GENE_354,42,17,89,64,29,4,76,51,26,88,63,38
GENE_355,45,22,96,73,40,17,91,68,45,12,86,63
GENE_356,48,27,6,82,51,30,9,85,64,33,12,88
GENE_357,44,18,89,63,27,1,72,46,20,81,55,29
GENE_358,47,23,96,72,38,14,87,63,39,5,78,54
GENE_359,50,28,6,81,49,27,5,80,58,26,4,79
GENE_360,53,33,13,90,60,40,20,97,77,47,27,7
GENE_361,56,38,20,2,71,53,35,17,96,68,50,32
GENE_362,59,43,27,11,82,66,50,34,18,89,73,57
GENE_363,62,48,34,20,93,79,65,51,37,13,96,82
GENE_364,58,39,20,1,69,50,31,12,90,61,42,23
GENE_365,61,44,27,10,80,63,46,29,12,82,65,48
GENE_366,64,49,34,19,91,76,61,46,31,6,88,73
GENE_367,67,54,41,28,5,89,76,63,50,27,14,1
GENE_368,70,59,48,37,16,5,91,80,69,48,37,26
GENE_369,73,64,55,46,27,18,9,97,88,69,60,51
GENE_370,76,69,62,55,38,31,24,17,10,90,83,76
GENE_371,72,60,48,36,14,2,87,75,63,41,29,17
GENE_372,75,65,55,45,25,15,5,92,82,62,52,42
GENE_373,78,70,62,54,36,28,20,12,4,83,75,67
GENE_374,81,75,69,63,47,41,35,29,23,7,1,92
GENE_375,84,80,76,72,58,54,50,46,42,28,24,20
GENE_376,87,85,83,81,69,67,65,63,61,49,47,45
GENE_377,90,90,90,90,80,80,80,80,80,70,70,70
GENE_378,86,81,76,71,56,51,46,41,36,21,16,11
GENE_379,89,86,83,80,67,64,61,58,55,42,39,36
GENE_380,92,91,90,89,78,77,76,75,74,63,62,61
GENE_381,95,96,97,1,89,90,91,92,93,84,85,86
GENE_382,1,4,7,10,3,6,9,12,15,8,11,14
GENE_383,4,9,14,19,14,19,24,29,34,29,34,39
GENE_384,7,14,21,28,25,32,39,46,53,50,57,64
GENE_385,3,5,7,9,1,3,5,7,9,1,3,5
GENE_386,6,10,14,18,12,16,20,24,28,22,26,30
GENE_387,9,15,21,27,23,29,35,41,47,43,49,55
GENE_388,12,20,28,36,34,42,50,58,66,64,72,80
GENE_389,15,25,35,45,45,55,65,75,85,85,95,8
GENE_390,18,30,42,54,56,68,80,92,7,9,21,33
GENE_391,21,35,49,63,67,81,95,12,26,30,44,58
GENE_392,17,26,35,44,43,52,61,70,79,78,87,96
GENE_393,20,31,42,53,54,65,76,87,1,2,13,24
GENE_394,23,36,49,62,65,78,91,7,20,23,36,49
GENE_395,26,41,56,71,76,91,9,24,39,44,59,74
GENE_396,29,46,63,80,87,7,24,41,58,65,82,2
GENE_397,32,51,70,89,1,20,39,58,77,86,8,27
GENE_398,35,56,77,1,12,33,54,75,96,10,31,52
GENE_399,31,47,63,79,85,4,20,36,52,58,74,90
GENE_400,34,52,70,88,96,17,35,53,71,79,97,18
GENE_401,37,57,77,97,10,30,50,70,90,3,23,43
GENE_402,40,62,84,9,21,43,65,87,12,24,46,68
GENE_403,43,67,91,18,32,56,80,7,31,45,69,93
GENE_404,46,72,1,27,43,69,95,24,50,66,92,21
GENE_405,49,77,8,36,54,82,13,41,69,87,18,46
GENE_406,45,68,91,17,30,53,76,2,25,38,61,84
GENE_407,48,73,1,26,41,66,91,19,44,59,84,12
GENE_408,51,78,8,35,52,79,9,36,63,80,10,37
GENE_409,54,83,15,44,63,92,24,53,82,4,33,62
GENE_410,57,88,22,53,74,8,39,70,4,25,56,87
GENE_411,60,93,29,62,85,21,54,87,23,46,79,15
GENE_412,63,1,36,71,96,34,69,7,42,67,5,40
GENE_413,59,89,22,52,72,5,35,65,95,18,48,78
GENE_414,62,94,29,61,83,18,50,82,17,39,71,6
GENE_415,65,2,36,70,94,31,65,2,36,60,94,31
GENE_416,68,7,43,79,8,44,80,19,55,81,20,56
GENE_417,71,12,50,88,19,57,95,36,74,5,43,81
GENE_418,74,17,57,97,30,70,13,53,93,26,66,9
GENE_419,77,22,64,9,41,83,28,70,15,47,89,34
GENE_420,73,13,50,87,17,54,91,31,68,95,35,72
GENE_421,76,18,57,96,28,67,9,48,87,19,58,97
GENE_422,79,23,64,8,39,80,24,65,9,40,81,25
GENE_423,82,28,71,17,50,93,39,82,28,61,7,50
GENE_424,85,33,78,26,61,9,54,2,47,82,30,75
GENE_425,88,38,85,35,72,22,69,19,66,6,53,3
GENE_426,91,43,92,44,83,35,84,36,85,27,76,28
GENE_427,87,34,78,25,59,6,50,94,41,75,22,66
GENE_428,90,39,85,34,70,19,65,14,60,96,45,91
GENE_429,93,44,92,43,81,32,80,31,79,20,68,19
GENE_430,96,49,2,52,92,45,95,48,1,41,91,44
GENE_431,2,54,9,61,6,58,13,65,20,62,17,69
GENE_432,5,59,16,70,17,71,28,82,39,83,40,94
GENE_433,8,64,23,79,28,84,43,2,58,7,63,22
GENE_434,4,55,9,60,4,55,9,60,14,55,9,60
GENE_435,7,60,16,69,15,68,24,77,33,76,32,85
GENE_436,10,65,23,78,26,81,39,94,52,97,55,13
GENE_437,13,70,30,87,37,94,54,14,71,21,78,38
GENE_438,16,75,37,96,48,10,69,31,90,42,4,63
GENE_439,19,80,44,8,59,23,84,48,12,63,27,88
GENE_440,22,85,51,17,70,36,2,65,31,84,50,16
GENE_441,18,76,37,95,46,7,65,26,84,35,93,54
GENE_442,21,81,44,7,57,20,80,43,6,56,19,79
GENE_443,24,86,51,16,68,33,95,60,25,77,42,7
GENE_444,27,91,58,25,79,46,13,77,44,1,65,32
GENE_445,30,96,65,34,90,59,28,94,63,22,88,57
GENE_446,33,4,72,43,4,72,43,14,82,43,14,82
GENE_447,36,9,79,52,15,85,58,31,4,64,37,10
GENE_448,32,97,65,33,88,56,24,89,57,15,80,48
GENE_449,35,5,72,42,2,69,39,9,76,36,6,73
GENE_450,38,10,79,51,13,82,54,26,95,57,29,1
GENE_451,41,15,86,60,24,95,69,43,17,78,52,26
GENE_452,44,20,93,69,35,11,84,60,36,2,75,51
GENE_453,47,25,3,78,46,24,2,77,55,23,1,76
GENE_454,50,30,10,87,57,37,17,94,74,44,24,4
GENE_455,46,21,93,68,33,8,80,55,30,92,67,42
GENE_456,49,26,3,77,44,21,95,72,49,16,90,67
GENE_457,52,31,10,86,55,34,13,89,68,37,16,92
GENE_458,55,36,17,95,66,47,28,9,87,58,39,20
GENE_459,58,41,24,7,77,60,43,26,9,79,62,45
GENE_460,61,46,31,16,88,73,58,43,28,3,85,70
GENE_461,64,51,38,25,2,86,73,60,47,24,11,95
GENE_462,60,42,24,6,75,57,39,21,3,72,54,36
GENE_463,63,47,31,15,86,70,54,38,22,93,77,61
